sport_event_id,sport_event,event,sport,sport_id,weight_category_sport,season,collective_sport,gender_category
458,"Short Track Speed Skating,1,000 metres, Men","1,000 metres, Men",Short Track Speed Skating,57,False,Winter,False,Men
459,"Short Track Speed Skating,500 metres, Men","500 metres, Men",Short Track Speed Skating,57,False,Winter,False,Men
460,"Short Track Speed Skating,3,000 metres Relay, Women","3,000 metres Relay, Women",Short Track Speed Skating,57,False,Winter,True,Women
461,"Weightlifting,Flyweight, Women","Flyweight, Women",Weightlifting,18,True,Summer,False,Women
462,"Diving,Synchronized Platform, Women","Synchronized Platform, Women",Diving,3,False,Summer,True,Women
463,"Shooting,Trap, Women","Trap, Women",Shooting,5,False,Summer,False,Women
464,"Table Tennis,Team, Men","Team, Men",Table Tennis,46,False,Summer,True,Men
465,"Table Tennis,Team, Women","Team, Women",Table Tennis,46,False,Summer,True,Women
466,"Baseball,Baseball, Men","Baseball, Men",Baseball,60,False,Summer,True,Men
467,"Shooting,Double Trap, Men","Double Trap, Men",Shooting,5,False,Summer,False,Men
468,"Athletics,4 × 400 metres Relay, Mixed","4 × 400 metres Relay, Mixed",Athletics,1,False,Summer,True,Mixed
469,"Boxing,Welterweight, Women","Welterweight, Women",Boxing,2,True,Summer,False,Women
470,"Art Competitions,Music, Open","Music, Open",Art Competitions,13,False,Summer,False,Open
471,"Cycling Track,Team Pursuit, 4,000 metres, Men","Team Pursuit, 4,000 metres, Men",Cycling Track,10,False,Summer,True,Men
472,"Fencing,Foil, Team, Men","Foil, Team, Men",Fencing,11,False,Summer,True,Men
473,"Cycling Track,Tandem Sprint, 2,000 metres, Men","Tandem Sprint, 2,000 metres, Men",Cycling Track,10,False,Summer,True,Men
474,"Waterskiing,Slalom, Men","Slalom, Men",Waterskiing,61,False,Summer,False,Men
475,"Shooting,Running Target, 50 metres, Men","Running Target, 50 metres, Men",Shooting,5,False,Summer,False,Men
476,"Equestrian Jumping,Team, Open","Team, Open",Equestrian Jumping,38,False,Summer,True,Open
477,"Cycling Track,Madison, Men","Madison, Men",Cycling Track,10,False,Summer,True,Men
478,"Cycling BMX Racing,BMX, Men","BMX, Men",Cycling BMX Racing,62,False,Summer,False,Men
479,"Diving,Synchronized Platform, Men","Synchronized Platform, Men",Diving,3,False,Summer,True,Men
480,"Cycling BMX Racing,BMX, Women","BMX, Women",Cycling BMX Racing,62,False,Summer,False,Women
481,"Cycling Track,Keirin, Men","Keirin, Men",Cycling Track,10,False,Summer,False,Men
482,"Cycling Track,Team Sprint, Women","Team Sprint, Women",Cycling Track,10,False,Summer,True,Women
483,"Golf,Individual, Women","Individual, Women",Golf,21,False,Summer,False,Women
484,"Rugby Sevens,Rugby Sevens, Women","Rugby Sevens, Women",Rugby Sevens,63,False,Summer,True,Women
485,"Skateboarding,Street, Men","Street, Men",Skateboarding,64,False,Summer,False,Men
486,"Taekwondo,Finweight, Men","Finweight, Men",Taekwondo,19,True,Summer,False,Men
487,"Taekwondo,Bantamweight, Men","Bantamweight, Men",Taekwondo,19,True,Summer,False,Men
488,"Canoe Slalom,Canadian Singles, Slalom, Men","Canadian Singles, Slalom, Men",Canoe Slalom,40,False,Summer,False,Men
489,"Rowing,Coxed Fours, Men","Coxed Fours, Men",Rowing,7,False,Summer,True,Men
490,"Water Polo,Water Polo, Men","Water Polo, Men",Water Polo,65,False,Summer,True,Men
491,"Sailing,Skiff, Open","Skiff, Open",Sailing,17,False,Summer,True,Open
492,"Sailing,One Person Heavyweight Dinghy, Men","One Person Heavyweight Dinghy, Men",Sailing,17,False,Summer,False,Men
493,"Sailing,Two Person Dinghy, Women","Two Person Dinghy, Women",Sailing,17,False,Summer,True,Women
494,"Snowboarding,Halfpipe, Women","Halfpipe, Women",Snowboarding,48,False,Winter,False,Women
495,"Bobsleigh,Four, Open","Four, Open",Bobsleigh,22,False,Winter,True,Open
496,"Karate,Kumite, >75 kg, Men","Kumite, >75 kg, Men",Karate,41,True,Summer,False,Men
497,"Snowboarding,Slopestyle, Women","Slopestyle, Women",Snowboarding,48,False,Winter,False,Women
498,"Snowboarding,Big Air, Women","Big Air, Women",Snowboarding,48,False,Winter,False,Women
499,"Marathon Swimming,10 kilometres Open Water, Men","10 kilometres Open Water, Men",Marathon Swimming,53,False,Summer,False,Men
500,"Shooting,Free Rifle, Three Positions, 300 metres, Men","Free Rifle, Three Positions, 300 metres, Men",Shooting,5,False,Summer,False,Men
501,"Luge,Doubles, Open","Doubles, Open",Luge,45,False,Winter,True,Open
502,"Bowling,Individual, Men","Individual, Men",Bowling,66,False,Summer,False,Men
503,"Taekwondo,Finweight, Women","Finweight, Women",Taekwondo,19,True,Summer,False,Women
504,"Taekwondo,Bantamweight, Women","Bantamweight, Women",Taekwondo,19,True,Summer,False,Women
505,"Taekwondo,Lightweight, Women","Lightweight, Women",Taekwondo,19,True,Summer,False,Women
506,"Badminton,Doubles, Women","Doubles, Women",Badminton,35,False,Summer,True,Women
507,"Softball,Softball, Women","Softball, Women",Softball,67,False,Summer,True,Women
508,"Shooting,Double Trap, Women","Double Trap, Women",Shooting,5,False,Summer,False,Women
509,"Wushu,Daoshu & Gunshu, Men","Daoshu & Gunshu, Men",Wushu,39,True,Summer,False,Men
510,"Wushu,Nanquan & Nangun, Men","Nanquan & Nangun, Men",Wushu,39,True,Summer,False,Men
511,"Wushu,Taijiquan & Taijijuan, Men","Taijiquan & Taijijuan, Men",Wushu,39,True,Summer,False,Men
512,"Wushu,Nanquan & Nandao, Women","Nanquan & Nandao, Women",Wushu,39,True,Summer,False,Women
513,"Wushu,Jianshu & Qiangshu, Women","Jianshu & Qiangshu, Women",Wushu,39,True,Summer,False,Women
514,"Wushu,Taijiquan & Taijijuan, Women","Taijiquan & Taijijuan, Women",Wushu,39,True,Summer,False,Women
515,"Badminton,Doubles, Men","Doubles, Men",Badminton,35,False,Summer,True,Men
516,"Karate,Kata, Men","Kata, Men",Karate,41,True,Summer,False,Men
517,"Karate,Kumite, ≤55 kg, Women","Kumite, ≤55 kg, Women",Karate,41,True,Summer,False,Women
518,"Table Tennis,Doubles, Mixed","Doubles, Mixed",Table Tennis,46,False,Summer,True,Mixed
519,"Equestrian Jumping,Individual, Men","Individual, Men",Equestrian Jumping,38,False,Summer,False,Men
520,"Shooting,Dueling Pistol, 30 metres, Men","Dueling Pistol, 30 metres, Men",Shooting,5,False,Summer,False,Men
521,"Shooting,Military Rifle, Three Positions, 300 metres, Men","Military Rifle, Three Positions, 300 metres, Men",Shooting,5,False,Summer,False,Men
522,"Shooting,Military Rifle, Any Position, 600 metres, Men","Military Rifle, Any Position, 600 metres, Men",Shooting,5,False,Summer,False,Men
523,"Cycling Track,50 kilometres, Men","50 kilometres, Men",Cycling Track,10,False,Summer,False,Men
524,"Equestrian Dressage,Team, Open","Team, Open",Equestrian Dressage,50,False,Summer,True,Open
525,"Equestrian Eventing,Individual, Men","Individual, Men",Equestrian Eventing,49,False,Summer,False,Men
526,"Equestrian Eventing,Team, Men","Team, Men",Equestrian Eventing,49,False,Summer,True,Men
527,"Equestrian Jumping,Team, Men","Team, Men",Equestrian Jumping,38,False,Summer,True,Men
528,"Rowing,Coxed Pairs, Men","Coxed Pairs, Men",Rowing,7,False,Summer,True,Men
529,"Speed Skiing,Individual, Men","Individual, Men",Speed Skiing,68,False,Winter,False,Men
530,"Rowing,Lightweight Coxless Fours, Men","Lightweight Coxless Fours, Men",Rowing,7,False,Summer,True,Men
531,"Freestyle Skiing,Ski Cross, Women","Ski Cross, Women",Freestyle Skiing,43,False,Winter,False,Women
532,"Freestyle Skiing,Slopestyle, Women","Slopestyle, Women",Freestyle Skiing,43,False,Winter,False,Women
533,"Sailing,Skiff, Women","Skiff, Women",Sailing,17,False,Summer,True,Women
